user_index,tsne_1,tsne_2,cluster
64608,62.130257,-22.373821,1
262620,9.381014,110.2338,0
187278,-2.3084881,77.11058,1
227371,-37.323967,23.752872,2
18754,52.539978,62.462868,3
122740,8.18032,21.946157,1
223037,0.9281359,84.25946,2
156769,-29.737833,-28.613417,2
313255,-22.812592,94.76022,2
166409,-29.306015,47.231647,2
274108,-6.152638,-120.57313,2
214862,-11.3306875,-94.662636,1
138971,-25.804941,-48.535,1
99513,52.20215,-13.466733,1
72132,41.94239,-22.142511,1
92579,-0.16889618,-32.10172,1
259813,-61.71614,45.066963,2
295659,-36.375095,99.91915,2
61002,70.93856,-42.884296,1
129336,-4.275838,-33.36059,1
194137,-38.511166,-24.151943,2
155703,30.09491,-91.31208,1
196651,-32.820065,17.944529,2
33484,106.20223,39.424397,3
313410,-118.52458,-59.664097,2
156895,-16.07127,-56.62,1
13741,69.053215,52.488052,3
110003,35.689713,-52.858097,1
267623,-81.75654,-25.027933,2
94685,41.52886,-26.911171,1
288591,-0.6286225,111.585846,2
227787,-75.04846,0.3453822,2
176294,-10.423337,-74.866974,1
44181,36.763554,78.30468,4
70115,94.97677,-35.800083,1
302324,-80.221214,84.603836,2
280322,-110.28008,5.3727016,2
306636,-147.19672,-3.2404234,2
196424,-12.617924,-79.06609,1
223268,-74.854126,0.43574062,2
126799,4.182037,12.469507,1
107800,35.288383,-68.49926,1
309176,-110.28008,5.3727016,2
94060,5.842103,-2.5511286,1
281985,-102.38988,46.897278,2
301391,-125.34534,-32.082935,2
20245,64.90643,61.005554,3
209938,-19.37942,10.3514385,1
202238,-43.18542,4.4527197,2
93597,37.765556,-32.776474,1
73081,25.791563,45.94614,1
314942,-111.82567,72.95308,2
24875,103.807594,47.93311,3
54971,59.104057,-0.8564974,1
26240,54.784245,20.554285,3
250762,-101.30127,8.635561,2
283089,-114.2843,-10.92966,2
164061,-13.334624,29.158846,2
73695,56.604435,-5.952712,1
268250,-7.3948174,82.18158,2
95611,27.562386,64.72554,1
220925,-52.93406,-4.787016,2
254268,33.567516,115.122154,0
122700,42.362656,-79.87587,1
208791,-36.974342,-55.04939,2
74832,36.112682,49.469654,1
102686,29.789753,-51.17117,1
86865,73.5166,-26.682774,1
201584,-33.780346,29.246159,2
262639,-92.193,39.31997,2
295205,-105.39532,-73.19653,2
242693,-45.231983,-43.422535,2
202217,-27.470306,2.2575831,2
229316,-52.675247,3.086823,2
14380,55.311573,67.772896,3
53819,41.693733,12.801466,1
146236,20.814585,-54.056225,1
217898,-75.35716,26.56588,2
119329,47.947327,-39.452785,1
32609,68.53842,18.895388,3
51867,23.62833,32.841328,3
297495,-102.23485,84.65515,2
149975,-33.131447,4.275508,2
33710,106.14184,16.924976,3
267079,-69.008026,75.56495,2
239226,-79.61691,5.752134,2
270131,-101.9532,6.93152,2
85296,69.92377,-57.070988,1
151548,-3.0304048,8.048697,1
19659,68.039,25.080502,3
16048,79.34027,47.252464,3
116991,-9.086432,-5.047914,2
281901,-122.65833,21.53219,2
246581,-65.182976,63.265434,2
199563,9.082641,109.780075,0
125270,9.788748,63.634888,1
155335,-9.382542,-4.763801,2
187552,-41.55818,-20.305244,2
108244,82.18079,-53.381683,1
243234,-61.531307,-22.551735,2
137490,9.191128,-52.32176,1
115809,5.944434,0.7614721,1
216806,-48.76908,-15.668209,2
16394,61.371315,62.247578,3
264833,-69.625656,72.86536,2
91134,26.440413,23.60683,1
94436,48.406868,-24.33723,1
142831,-15.074995,-10.517296,1
53593,41.1589,-23.604208,1
236782,-83.385895,1.6143154,2
110087,29.16979,-46.5664,1
287945,-138.22926,-44.301884,2
75633,8.976214,-33.66303,1
148852,20.68852,-55.918137,1
53717,91.8653,-24.90402,3
75386,64.36306,-5.360865,3
159712,-35.506584,-17.964537,2
38376,88.96684,-0.63170224,3
297460,-46.904243,121.01621,2
119353,22.993593,-49.78293,1
313105,-25.258133,99.06545,2
170835,-35.874207,15.638548,2
127339,33.60426,-56.249416,1
300857,-25.250957,-109.30344,2
164681,11.641752,-69.230934,1
48357,102.69445,7.3503466,3
272417,-97.134834,-23.402113,2
21176,61.248287,27.744085,3
243527,-87.6036,-14.57028,2
224057,-43.743317,-12.463724,2
99549,22.839054,73.9978,1
132881,8.80232,-53.684036,1
148064,5.502411,-17.81055,1
277028,-110.21713,-34.448845,2
97686,14.281546,25.35578,1
243949,-65.63284,51.09312,2
60271,35.56417,88.89609,4
281604,27.10174,114.02641,0
118484,81.749054,-40.36403,1
280674,-109.87643,39.925217,2
234572,-12.299704,88.0844,2
175757,-41.725426,16.570007,2
167413,27.243784,-99.84238,1
293746,-102.38988,46.897278,2
53311,71.63758,20.046295,3
2272,69.39028,74.21693,5
95701,2.6181772,-28.524424,1
59862,25.297743,35.05611,3
275515,-110.28008,5.3727016,2
213208,-3.4221668,-60.08402,1
152921,6.891526,-20.534016,1
161579,29.829615,-85.11419,1
274304,-113.76884,-21.92462,2
207486,-44.216175,-34.808247,2
206850,-39.039555,-34.301777,2
197239,-17.141111,35.898964,2
137737,2.3616152,-79.05969,1
73792,110.032524,-16.08577,3
110974,18.742344,66.33975,1
151587,70.2151,-70.06137,1
222910,-35.548496,49.770096,2
24473,32.68775,15.135548,3
72951,35.149155,60.64234,3
100932,85.92358,-36.813503,1
58329,31.501505,23.265215,1
95452,47.5848,-38.882507,1
306000,-37.16348,-116.904495,2
55984,42.456158,68.91403,1
85889,45.70742,-28.369917,1
246550,-61.38797,37.77835,2
184616,-57.52646,54.46666,2
207597,-0.16381302,77.743385,2
80136,53.18448,-19.486074,1
293378,-6.152638,-120.57313,2
176848,-3.2260609,15.868899,1
38828,49.50993,24.672564,3
215261,-54.70439,25.638212,2
200980,-38.973644,23.693743,2
122745,30.324043,-18.340878,1
152827,3.6615455,58.098835,1
137170,24.770502,75.49418,4
111312,20.96327,-68.3215,1
133028,32.68204,-56.22605,1
168499,-15.761982,-57.441628,1
186490,-21.526052,23.028006,2
190876,46.85561,-71.28314,1
181256,-19.506939,-46.06456,1
25580,88.42268,32.11735,3
154151,11.995302,-82.53024,1
54057,89.97816,16.635729,3
92267,65.04995,-54.557915,1
207950,-33.668205,43.20128,2
217421,-67.872185,41.682957,2
130816,49.58989,-32.883698,1
227745,-63.654835,18.924673,2
1898,82.51304,81.2951,5
42493,55.033775,9.469499,1
166061,-30.66061,44.915245,2
37038,89.042885,-3.2376447,3
282179,-49.884285,-102.553116,2
123764,4.2829833,12.292243,1
265879,-45.421482,46.55739,2
247860,-35.171673,52.39253,2
282408,-106.61192,63.775276,2
156256,-35.855442,14.730839,2
250561,-68.9199,-1.9751698,2
301412,0.35336104,112.4324,2
90492,28.04148,-47.24635,1
78593,10.236168,63.81692,1
76092,98.49663,-3.4477298,3
34864,97.31963,30.567116,3
28737,39.162106,23.472397,3
196631,-34.635353,-7.409504,1
228900,-69.181915,23.006529,2
198473,-38.185566,-56.016953,2
224676,-63.0247,19.885618,2
162619,13.109733,-61.20999,1
169051,5.3618917,-54.57712,1
39003,48.787518,47.14218,3
281458,-121.51454,42.09657,2
272626,-62.947636,45.244835,2
106574,48.39035,-38.331387,1
240133,-58.428112,-32.917015,2
47765,78.99448,-3.6666324,3
37264,21.027802,10.290296,1
203949,-26.695324,34.025345,2
266321,-18.714417,87.71779,2
58479,19.792227,39.455257,3
138533,-14.634625,-9.144091,2
169335,-13.895473,-6.6665797,2
243206,-46.250324,-51.247192,2
238882,-45.152687,59.75744,2
292041,-37.16348,-116.904495,2
97071,38.125523,18.531275,3
93275,13.177021,-8.094316,1
121148,59.846394,-64.30309,1
69809,87.49606,-44.433968,1
276905,-1.0552564,94.17068,2
298075,36.11784,115.67059,0
248697,-63.432236,65.05956,2
219616,-73.03009,31.684837,2
150933,-26.756445,-26.733513,2
56721,77.18533,8.033301,3
174360,-7.228156,24.123255,1
261337,-102.75089,13.547796,2
76795,62.80002,-37.80148,1
130100,5.29409,-47.349537,1
260205,-12.014717,79.54908,2
